School Name,EMIS Number,Markaz,Tehsil,Address,AEO Count,Status
"GMPS Chokar","37330633","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS DHANDI GUJRAN","37330400","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS Dhok Adrana","37330638","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS GAHI SYEDAN","37330325","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS GANG","37330327","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS GHELLA KHURD","37330362","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS Gangal","37330410","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS Guggan","37330409","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS HARNIALI SYEDAN","37330364","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS JASWAL","37330661","","","",0,"HAS AEO NO STAFF"
"GMPS Kali Pari","37330369","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS Khabba Barala","37330370","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS Las Mali","37330374","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GMPS SAGRI","37330504","","","",0,"HAS AEO NO STAFF"
"GPS CHAKLALA RAWALPNDI","37330203","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS DHOK HASSO","37330205","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS DHOK MUNSHI","37330322","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS DHOK ROSHAN DIN RAWALPINDI","37330207","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS HAMIDIA","37330235","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS ISLAMIA RATTA","37330237","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS JHANDA CHICHI","37330238","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS KOT JABBI","37330688","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS MC MOHALLAH WORKSHOPI RWP","37330231","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS MC QASIMABAD STREET NO. 6 RWP","37330233","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS MORGAH","37330359","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS NEW PUBLIC RAWALPINDI","37330216","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS POSTAL COLONY","37330218","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS QUMI PAY JHANDA CHACHI","37330219","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS RATTA AMRAL","37330221","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS REHMAT ABAD","37330333","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS SHEIKH ZADA","37330266","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS STANDARD MUSLIM","37330222","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"GPS TANVEER-UL-ISLAM DHOKE HUKAM DAD RWP","37330225","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"Gges Mujahid Gangal","37330179","","","",0,"HAS AEO NO STAFF"
"MC GGPS Chittian Hattian","37330459","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"MC GGPS DK hukamdad","37330453","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
"MC GGPS ward 28 Ratta Amral","37330458","","","Rawalpindi, Pakistan",0,"HAS AEO NO STAFF"
